meeting_id,meeting_category,daesu,meeting_specification,commitee,number_of_meetings,chasu,meeting_date
52855,국회,21,소위원회,법제사법위원회-법안심사제1소위원회,405,2,2023년4월10일(월)
52857,국회,21,소위원회,법제사법위원회-법안심사제1소위원회,405,3,2023년4월11일(화)
52877,국회,21,소위원회,법제사법위원회-법안심사제2소위원회,405,1,2023년4월19일(수)
52944,국회,21,소위원회,법제사법위원회-법안심사제1소위원회,406,1,2023년5월22일(월)
52952,국회,21,소위원회,법제사법위원회-법안심사제2소위원회,406,1,2023년5월24일(수)
52984,국회,21,소위원회,법제사법위원회-법안심사제2소위원회,407,1,2023년6월15일(목)
52989,국회,21,소위원회,법제사법위원회-법안심사제1소위원회,407,1,2023년6월19일(월)
53040,국회,21,소위원회,법제사법위원회-법안심사제1소위원회,407,2,2023년6월28일(수)
53074,국회,21,소위원회,법제사법위원회-법안심사제1소위원회,408,1,2023년7월13일(목)
53171,국회,21,소위원회,법제사법위원회-예산결산기금심사소위원회,409,1,2023년8월30일(수)
53173,국회,21,소위원회,법제사법위원회-법안심사제1소위원회,409,1,2023년8월31일(목)
53178,국회,21,소위원회,법제사법위원회-예산결산기금심사소위원회,409,2,2023년8월31일(목)
53211,국회,21,소위원회,법제사법위원회-법안심사제2소위원회,410,1,2023년9월11일(월)
53214,국회,21,소위원회,법제사법위원회-법안심사제1소위원회,410,1,2023년9월12일(화)
53259,국회,21,소위원회,법제사법위원회-법안심사제1소위원회,410,2,2023년9월21일(목)
